Project,ConvertedFrom,ConvertedTo,BeforeCount,AfterCount,CCTRChange,CCTRChangePerTest,%
ActiveMQ,0,2,2,1,-6.0,-3.0,-0.75
ActiveMQ,0,1,2,1,0.0,-0.0,0.0
ActiveMQ,0,2,2,1,-4.0,-2.0,-0.5
ActiveMQ,0,1,2,1,-14.0,-7.0,-0.875
ActiveMQ,0,1,2,1,-2.0,-1.0,-0.3333333333333333
Ambari,0,1,14,1,-14.0,-1.0,-1.0
Ambari,0,1,2,1,-2.0,-1.0,-1.0
Ambari,0,1,9,1,-27.0,-3.0,-1.0
Ambari,0,1,6,1,-18.0,-3.0,-1.0
Ambari,0,1,2,1,0.0,-0.0,0.0
Ambari,0,1,4,1,0.0,-0.0,0.0
Ambari,0,1,3,1,-9.0,-3.0,-0.6
Ambari,0,1,9,1,-27.0,-3.0,-0.6
Ambari,0,1,8,1,-16.0,-2.0,-0.9411764705882353
Ambari,0,1,2,1,-2.0,-1.0,-1.0
Ambari,0,1,2,1,-6.0,-3.0,-0.6
Ambari,0,2,15,1,-95.0,-6.333333333333333,-0.9595959595959596
Ambari,0,2,8,1,-24.0,-3.0,-0.8571428571428571
Ambari,0,1,4,1,-4.0,-1.0,-1.0
Ambari,0,1,3,1,0.0,-0.0,0.0
Ambari,0,1,2,1,-6.0,-3.0,-0.6
Ambari,0,1,2,1,-6.0,-3.0,-0.6
Ambari,0,1,2,1,-4.0,-2.0,-1.0
Ambari,0,1,2,1,-6.0,-3.0,-1.0
Ambari,0,1,16,1,-82.0,-5.125,-0.7192982456140351
Ambari,0,1,2,1,-7.0,-3.5,-0.6363636363636364
Ambari,0,2,12,1,-84.0,-7.0,-0.875
Ambari,0,2,5,1,-15.0,-3.0,-0.6
Ambari,0,1,2,1,-6.0,-3.0,-0.6
Ambari,0,1,2,1,-6.0,-3.0,-0.6
Ambari,0,1,4,1,0.0,-0.0,
Ambari,0,1,2,1,-2.0,-1.0,-1.0
Ambari,0,1,18,1,-90.0,-5.0,-0.7142857142857143
Ambari,0,1,5,1,-15.0,-3.0,-0.6
Ambari,0,2,2,1,-8.0,-4.0,-0.5714285714285714
Ambari,0,1,5,1,-5.0,-1.0,-1.0
Ambari,0,2,9,1,-45.0,-5.0,-0.8823529411764706
Ambari,0,1,2,1,-6.0,-3.0,-1.0
Ambari,0,1,21,1,-21.0,-1.0,-1.0
Ambari,0,1,4,1,-20.0,-5.0,-1.0
Ambari,0,1,18,1,-18.0,-1.0,-0.3103448275862069
Ambari,0,1,8,1,-16.0,-2.0,-0.9411764705882353
Ambari,0,2,21,1,-155.0,-7.380952380952381,-0.9171597633136095
Ambari,0,1,2,1,0.0,-0.0,0.0
Ambari,0,1,5,1,-10.0,-2.0,-1.0
Ambari,0,1,3,1,0.0,-0.0,0.0
Ambari,0,1,2,1,-4.0,-2.0,-1.0
Ambari,0,1,9,1,-9.0,-1.0,-1.0
Ambari,0,1,7,1,-7.0,-1.0,-1.0
Ambari,0,1,8,1,-8.0,-1.0,-0.3333333333333333
Ambari,0,1,5,1,-5.0,-1.0,-1.0
Ambari,0,1,3,1,-3.0,-1.0,-1.0
Ambari,0,1,2,1,-4.0,-2.0,-0.6666666666666666
Ambari,0,1,6,1,-6.0,-1.0,-1.0
Ambari,0,1,18,1,-18.0,-1.0,-1.0
Ambari,0,1,5,1,-11.0,-2.2,-0.7857142857142857
Ambari,0,1,8,1,-8.0,-1.0,-0.3333333333333333
Ambari,0,1,6,1,0.0,-0.0,0.0
Ambari,0,1,2,1,-2.0,-1.0,-1.0
Ambari,0,1,4,1,-8.0,-2.0,-0.6666666666666666
Ambari,0,1,2,1,-2.0,-1.0,-0.2
Ambari,0,1,17,1,-87.0,-5.117647058823529,-0.71900826446281
Ambari,0,1,23,1,-69.0,-3.0,-0.7931034482758621
Ambari,0,2,3,1,-9.0,-3.0,-0.2727272727272727
Ambari,0,2,4,1,-3.0,-0.75,-0.07692307692307693
Ambari,0,2,44,1,-44.0,-1.0,-0.14102564102564102
Ambari,0,2,24,1,-120.0,-5.0,-0.6060606060606061
Ambari,0,2,9,1,-27.0,-3.0,-0.6
Ambari,0,2,15,1,-59.0,-3.933333333333333,-0.8309859154929577
Ambari,0,1,2,1,-22.0,-11.0,-1.0
Ambari,0,1,9,1,-27.0,-3.0,-1.0
Ambari,0,1,3,1,-9.0,-3.0,-1.0
Ambari,0,1,6,1,-6.0,-1.0,-1.0
Ambari,0,2,18,1,-54.0,-3.0,-0.9310344827586207
