Project,FromLevel,ToLevel,InputMockCount,OutputMockCount,CCTRReduction,CCTRReductionPerTest,AffectedTestsCCTR,ReductionRatio,ReductionRatio_num,ecdf_x,ecdf_y
CloudStack,0,2,3,1,-9,-3.0,43,-21%,-0.21,0.3177405119152692,-0.21
CloudStack,0,1,2,1,-2,-1.0,15,-13%,-0.13,0.5180935569285083,-0.13
CloudStack,0,1,2,1,-2,-1.0,10,-20%,-0.2,0.3389232127096205,-0.2
CloudStack,0,1,4,1,-4,-1.0,95,-4%,-0.04,0.8543689320388349,-0.04
CloudStack,0,1,3,1,-3,-1.0,61,-5%,-0.05,0.7811120917917035,-0.05
CloudStack,0,1,4,1,-4,-1.0,46,-9%,-0.09,0.6248896734333628,-0.09
CloudStack,0,1,2,1,0,0.0,44,0%,0.0,0.9858781994704324,0.0
CloudStack,0,1,26,1,-78,-3.0,316,-25%,-0.25,0.2559576345984113,-0.25
CloudStack,0,1,5,1,-10,-2.0,82,-12%,-0.12,0.5481023830538394,-0.12
CloudStack,0,1,5,1,-5,-1.0,146,-3%,-0.03,0.9037952338923213,-0.03
