project,repository
Spark,https://github.com/apache/spark.git
Spatial-Information-System,https://github.com/apache/sis.git
Sqoop,https://github.com/apache/sqoop.git
SSHD,https://github.com/apache/mina-sshd.git
Stanbol,https://github.com/apache/stanbol.git
Storm,https://github.com/apache/storm.git
Stratos,https://github.com/apache/stratos.git
Struts,https://github.com/apache/struts.git
Submarine,https://github.com/apache/submarine.git
Synapse,https://github.com/apache/synapse.git
Syncope,https://github.com/apache/syncope.git
Tajo,https://github.com/apache/tajo.git
Tapestry,https://github.com/apache/tapestry-5.git
Tentacles,https://github.com/apache/creadur-tentacles.git
Tez,https://github.com/apache/tez.git
Thrift,https://github.com/apache/thrift.git
Tika,https://github.com/apache/tika.git
Tiles,https://github.com/apache/tiles.git
Tobago,https://github.com/apache/myfaces-tobago.git
Tomcat,https://github.com/apache/tomcat.git
TomEE,https://github.com/apache/tomee.git
Torque,https://github.com/apache/db-torque.git
TsFile,https://github.com/apache/tsfile.git
Turbine,https://github.com/apache/turbine-core.git
Tuscany,https://github.com/apache/tuscany.git
UIMA,https://github.com/apache/uima-uimaj.git
Unomi,https://github.com/apache/unomi.git
Velocity,https://github.com/apache/velocity-engine.git
Velocity-Tools,https://github.com/apache/velocity-tools.git
VSS-Ant-Library,https://github.com/apache/ant-antlibs-vss.git
VXQuery,https://github.com/apache/vxquery.git
Vysper,https://github.com/apache/mina-vysper.git
Whirr,https://github.com/apache/whirr.git
Whisker,https://github.com/apache/creadur-whisker.git
Wicket,https://github.com/apache/wicket.git
Wink,https://github.com/apache/wink.git
Woden,https://github.com/apache/woden.git
Wookie,https://github.com/apache/wookie.git
Xalan,https://github.com/apache/xalan-j.git
Xerces,https://github.com/apache/xerces2-j.git
Xindice,https://github.com/apache/xindice.git
XML-Commons-External,https://github.com/apache/xml-commons-external.git
XML-Commons-Resolver,https://github.com/apache/xml-commons-resolver.git
XML-Graphics-Commons,https://github.com/apache/xmlgraphics-commons.git
XMLBeans,https://github.com/apache/xmlbeans.git
Yetus,https://github.com/apache/yetus.git
Zeppelin,https://github.com/apache/zeppelin.git
ZooKeeper,https://github.com/apache/zookeeper.git
NiFi,https://github.com/apache/nifi.git
